Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Durable Medical Equipment,"Orthotics and
Prosthetics",L7259,"Electronic wrist rotator, any type",Yes,CareCore National,
Durable Medical Equipment,"Orthotics and
Prosthetics",L8702,"Powered upper extremity range of motion assist device, elbow, wrist, hand, finger, single or double upright(s), includes
microprocessor, sensors, all components and accessories, custom fabricated","Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,"Orthotics and
Prosthetics",S1040,"Cranial remolding orthosis, pediatric, rigid, with soft interface material, custom fabricated, includes fitting and adjustment(s)",Yes,CareCore National,
Durable Medical Equipment,VENTILATORS,E0466,"Home ventilator, any type, used with non-invasive interface, (e.g., mask, chest shell)",Yes,CareCore National,
Durable Medical Equipment,VENTILATORS,E0467,"Home ventilator, multi-function respiratory device, also performs any or all of the additional functions of oxygen concentration,
drug nebulization, aspiration, and cough stimulation, includes all accessories, components and supplies for all functions",Yes,CareCore National,
Durable Medical Equipment,VENTILATORS,E0468,"Home ventilator, dual-function respiratory device, also performs additional function of cough stimulation, includes all
accessories, components and supplies for all functions",Yes,CareCore National,
Durable Medical Equipment,"OXYGEN AND
RELATED
RESPIRATORY
EQUIPMENT",E0483,"High frequency chest wall oscillation system, with full anterior and/or posterior thoracic region receiving simultaneous external
oscillation, includes all accessories and supplies, each",Yes,CareCore National,
Durable Medical Equipment,PATIENT LIFTS,E0627,"Seat lift mechanism, electric, any type",Yes,CareCore National,
Durable Medical Equipment,PATIENT LIFTS,E0637,"Combination sit to stand frame/table system, any size including pediatric, with seat lift feature, with or without wheels",Yes,CareCore National,
Durable Medical Equipment,PATIENT LIFTS,E0638,"Standing frame/table system, one position (e.g., upright, supine or prone stander), any size including pediatric, with or without
wheels",Yes,CareCore National,
Durable Medical Equipment,PATIENT LIFTS,E0640,"Patient lift, fixed system, includes all components/accessories",Yes,CareCore National,
Durable Medical Equipment,PATIENT LIFTS,E0641,"Standing frame/table system, multi-position (e.g., three-way stander), any size including pediatric, with or without wheels",Yes,CareCore National,
Durable Medical Equipment,PATIENT LIFTS,E0642,"Standing frame/table system, mobile (dynamic stander), any size including pediatric",Yes,CareCore National,
Durable Medical Equipment,"NON-PNEUMATIC
COMPRESSOR AND
APPLIANCES",E0677,"Non-pneumatic sequential compression garment, trunk","Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,"NON-PNEUMATIC
COMPRESSOR AND
APPLIANCES",E0683,"Non-pneumatic, non-sequential, peristaltic wave compression pump","Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,"TRANSCUTANEOUS
ELECTRICAL NERVE
STIMULATORS - TENS",E0721,Transcutaneous electrical nerve stimulator for nerves in the auricular region,"Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,"ORTHOSES &
PROSTHESES",E0738,"Upper extremity rehabilitation system providing active assistance to facilitate muscle re-education, include microprocessor,
all components and accessories","Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,"ORTHOSES &
PROSTHESES",E0739,"Rehabilitation system with interactive interface providing active assistance in rehabilitation therapy, includes all components
and accessories, motors, microprocessors, sensors","Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,"NEUROMUSCULAR
ELECTRICAL
STIMULATORS",E0767,"Intrabuccal, systemic delivery of amplitude-modulated, radiofrequency electromagnetic field device, for cancer treatment,
includes all accessories","Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,"OTHER ORTHOPEDIC
DEVICES",E2508,"Speech generating device, synthesized speech, requiring message formulation by spelling and access by physical contact
with the device",Yes,CareCore National,
Durable Medical Equipment,"OTHER ORTHOPEDIC
DEVICES",E2510,"Speech generating device, synthesized speech, permitting multiple methods of message formulation and multiple methods of
device access",Yes,CareCore National,
Durable Medical Equipment,WHEELCHAIRS,K0899,"Power mobility device, not coded by dme pdac or does not meet criteria",Yes,CareCore National,
Durable Medical Equipment,"ORTHOSES &
PROSTHESES",K1007,"Bilateral hip, knee, ankle, foot device, powered, includes pelvic component, single or double upright(s), knee joints any type,
with or without ankle joints any type, includes all components and accessories, motors, microprocessors, sensors","Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,"ORTHOSES &
PROSTHESES",L5827,"Endoskeletal knee-shin system, single axis, electromechanical swing and stance phase control, with or without shock
absorption and stance extension damping",Yes,CareCore National,
Durable Medical Equipment,"ORTHOSES &
PROSTHESES",L5859,"Addition to lower extremity prosthesis, endoskeletal knee-shin system, powered and programmable flexion/extension assist
control, includes any type motor(s)",Yes,CareCore National,
Durable Medical Equipment,DME,E0678,"Non-pneumatic sequential compression garment, full leg","Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,DME,E0679,"Non-pneumatic sequential compression garment, half leg","Experimental /
Investigational - Yes",CareCore National,
Durable Medical Equipment,DME,E0680,Non-pneumatic compression controller with sequential calibrated gradient pressure,"Experimental /
Investigational - Yes",CareCore National,
