Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation,source_file
Other Services,Outpatient Surgery,43889,"Gastric restrictive procedure, transoral, endoscopic sleeve gastroplasty (ESG), including argon plasma coagulation, when
performed",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",64567,"Percutaneous electrical nerve field stimulation, cranial nerves, without implantation",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",64654,"Initial open implantation of baroreflex activation therapy (BAT) modulation system, including lead placement onto the carotid
sinus, lead tunnelling, connection to a pulse generator placed in a distant subcutaneous pocket (ie, total system), and
intraoperative interrogation and programming",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",64910,"Nerve repair; with synthetic conduit or vein allograft (eg, nerve tube), each nerve",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",0990T,"Transcervical instillation of biodegradable hydrogel materials, intrauterine",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",0991T,"Cystourethroscopy, with low-energy lithotripsy and acoustically actuated microspheres, including imaging",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",0994T,"Endovascular delivery of aortic wall stabilization drug therapy through a sheath positioned within an abdominal aortic
aneurysm, with aortic roadmapping, balloon occlusion, imaging guidance, and radiological supervision and interpretation;
percutaneous",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",0995T,"Endovascular delivery of aortic wall stabilization drug therapy through a sheath positioned within an abdominal aortic
aneurysm, with aortic roadmapping, balloon occlusion, imaging guidance, and radiological supervision and interpretation;
open",Yes,CareCore National,,Table_table_1.csv
Other Services,Outpatient Surgery,0999T,"Autologous muscle cell therapy, harvesting of muscle progenitor cells, including ultrasound guidance, when performed",Yes,CareCore National,,Table_table_1.csv
Other Services,Outpatient Surgery,1000T,"Autologous muscle cell therapy, administration of muscle progenitor cells into the urethral sphincter, including cystoscopy and
post-void residual ultrasound, when performed",Yes,CareCore National,,Table_table_1.csv
Other Services,Outpatient Surgery,1001T,"Autologous muscle cell therapy, injection of muscle progenitor cells into the external anal sphincter, including ultrasound
guidance, when performed",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",1003T,"Arthroplasty, first carpometacarpal joint, with distal trapezial and proximal first metacarpal prosthetic replacement (eg, first
carpometacarpal total joint)",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",1008T,"Remote monitoring of sub-scalp implanted continuous bilateral electroencephalography monitoring system, device fitting,
initial set-up, and patient education in wearing of system and use of equipment",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",1009T,"Remote monitoring of a sub-scalp implanted continuous bilateral electroencephalography monitoring system, physician or
other qualified health care professional review of recorded events, analysis of spike and seizure detection, interpretation, and
report, up to 30 days of recording without video",Yes,CareCore National,,Table_table_1.csv
Other Services,Outpatient Surgery,1019T,"Lymphovenous bypass, including robotic assistance, when performed, per extremity",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",1025T,"Alternating electric fields dosimetry and delivery-simulation modeling, creation and selection of patient-specific array layouts,
and placement verification",Yes,CareCore National,,Table_table_1.csv
Other Services,Outpatient Surgery,C1607,"Neurostimulator, integrated (implantable), rechargeable with all implantable and external components including charging
system",Yes,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",Q4398,"Summit ac, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",Q4399,"Summit fx, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",Q4400,"Polygon3 membrane, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",Q4401,"Absolv3 membrane, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",Q4410,"Amchomatrixdl, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",Q4411,"Amniomatrixf4x, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",Q4413,"Cygnus solo, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",Q4420,"Nuform, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_1.csv
Other Services,"Experimental /
Investigational",Q4422,"A/c wrap, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_1.csv
Other Services,Potentially Cosmetic,15825,"Rhytidectomy; neck with platysmal tightening (platysmal flap, P-flap)",Yes,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,15829,Rhytidectomy; superficial musculoaponeurotic system (SMAS) flap,Yes,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,30620,Septal or other intranasal dermatoplasty (does not include obtaining graft),Yes,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,30520,"Septoplasty or submucous resection, with or without cartilage scoring, contouring or replacement with graft",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",Q4130,"Strattice tm, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,11950,"Subcutaneous injection of filling material (eg, collagen); 1 cc or less",Yes,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,11951,"Subcutaneous injection of filling material (eg, collagen); 1.1 to 5.0 cc",Yes,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,11952,"Subcutaneous injection of filling material (eg, collagen); 5.1 to 10.0 cc",Yes,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,11954,"Subcutaneous injection of filling material (eg, collagen); over 10.0 cc",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",0980T,Submucosal cryolysis therapy; base of tongue and lingual tonsil only,Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",0979T,Submucosal cryolysis therapy; soft palate only,Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",0978T,"Submucosal cryolysis therapy; soft palate, base of tongue, and lingual tonsil",Yes,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,15876,Suction assisted lipectomy; head and neck,Yes,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,15879,Suction assisted lipectomy; lower extremity,Yes,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,15877,Suction assisted lipectomy; trunk,Yes,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,15878,Suction assisted lipectomy; upper extremity,Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",Q4397,"Summit aaa, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",Q4393,"Surgraft ac, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",Q4394,"Surgraft aca, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",Q4268,"Surgraft ft, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",Q4263,"Surgraft tl, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",Q4269,"Surgraft xt, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,36514,Therapeutic apheresis; for plasma pheresis,Yes,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,32664,"Thoracoscopy, surgical; with thoracic sympathectomy",Yes,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,15156,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits;
additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,15157,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits;
each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in
addition to code for primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,15155,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first
25 sq cm or less",Yes,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,15151,"Tissue cultured skin autograft, trunk, arms, legs; additional 1 sq cm to 75 sq cm (List separately in addition to code for
primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,15152,"Tissue cultured skin autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and
children, or part thereof (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,15150,"Tissue cultured skin autograft, trunk, arms, legs; first 25 sq cm or less",Yes,CareCore National,,Table_table_10.csv
Other Services,Potentially Cosmetic,19357,"Tissue expander placement in breast reconstruction, including subsequent expansion(s)",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",41512,"Tongue base suspension, permanent suture technique",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",0951T,"Totally implantable active middle ear hearing implant; initial placement, including mastoidectomy, placement of and
attachment to sound processor",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",0967T,"Transanal insertion of endoluminal temporary colorectal anastomosis protection device, including vacuum anchoring
component and flexible sheath connected to external vacuum source and monitoring system",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",0981T,"Transcatheter implantation of wireless inferior vena cava sensor for long-term hemodynamic monitoring, including
deployment of the sensor, radiological supervision and interpretation, right heart catheterization, and inferior vena cava
venography, when performed",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",0933T,"Transcatheter implantation of wireless left atrial pressure sensor for long-term left atrial pressure monitoring, including sensor
calibration and deployment, right heart catheterization, transseptal puncture, imaging guidance, and radiological supervision
and interpretation",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",33289,"Transcatheter implantation of wireless pulmonary artery pressure sensor for long-term hemodynamic monitoring, including
deployment and calibration of the sensor, right heart catheterization, selective pulmonary catheterization, radiological
supervision and interpretation, and pulmonary artery angiography, when performed",Yes,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,66175,"Transluminal dilation of aqueous outflow canal (eg, canaloplasty); with retention of device or stent",Yes,CareCore National,,Table_table_10.csv
Other Services,Outpatient Surgery,66174,"Transluminal dilation of aqueous outflow canal (eg, canaloplasty); without retention of device or stent",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",93799,Unlisted cardiovascular service or procedure,Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",21299,Unlisted craniofacial and maxillofacial procedure,Yes,CareCore National,,Table_table_10.csv
Other Services,Unlisted Procedure,91299,Unlisted diagnostic gastroenterology procedure,Yes,CareCore National,,Table_table_10.csv
Other Services,Unlisted Procedure,59897,"Unlisted fetal invasive procedure, including ultrasound guidance, when performed",Yes,CareCore National,,Table_table_10.csv
Other Services,"Experimental /
Investigational",58579,"Unlisted hysteroscopy procedure, uterus",Yes,CareCore National,,Table_table_10.csv
Other Services,Unlisted Procedure,47379,"Unlisted laparoscopic procedure, liver",Yes,CareCore National,,Table_table_10.csv
Other Services,Unlisted Procedure,49329,"Unlisted laparoscopy procedure, abdomen, peritoneum and omentum",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,44979,"Unlisted laparoscopy procedure, appendix",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,47579,"Unlisted laparoscopy procedure, biliary tract",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",43289,"Unlisted laparoscopy procedure, esophagus",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",49659,"Unlisted laparoscopy procedure, hernioplasty, herniorrhaphy, herniotomy",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",44238,"Unlisted laparoscopy procedure, intestine (except rectum)",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",38589,"Unlisted laparoscopy procedure, lymphatic system",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,58679,"Unlisted laparoscopy procedure, oviduct, ovary",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,38129,"Unlisted laparoscopy procedure, spleen",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",43659,"Unlisted laparoscopy procedure, stomach",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,50949,"Unlisted laparoscopy procedure, ureter",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",58578,"Unlisted laparoscopy procedure, uterus",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,21089,Unlisted maxillofacial prosthetic procedure,Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",21499,"Unlisted musculoskeletal procedure, head",Yes,CareCore National,,Table_table_11.csv
Other Services,Potentially Cosmetic,22999,"Unlisted procedure, abdomen, musculoskeletal system",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",49999,"Unlisted procedure, abdomen, peritoneum and omentum",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",31299,"Unlisted procedure, accessory sinuses",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",66999,"Unlisted procedure, anterior segment of eye",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",46999,"Unlisted procedure, anus",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,47999,"Unlisted procedure, biliary tract",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",19499,"Unlisted procedure, breast",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,45399,"Unlisted procedure, colon",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,39599,"Unlisted procedure, diaphragm",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,60699,"Unlisted procedure, endocrine system",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",43499,"Unlisted procedure, esophagus",Yes,CareCore National,,Table_table_11.csv
Other Services,Potentially Cosmetic,69399,"Unlisted procedure, external ear",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,67999,"Unlisted procedure, eyelids",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",58999,"Unlisted procedure, female genital system (nonobstetrical)",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",38999,"Unlisted procedure, hemic or lymphatic system",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,69949,"Unlisted procedure, inner ear",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,68899,"Unlisted procedure, lacrimal system",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,31599,"Unlisted procedure, larynx",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,40799,"Unlisted procedure, lips",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,47399,"Unlisted procedure, liver",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,32999,"Unlisted procedure, lungs and pleura",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",55899,"Unlisted procedure, male genital system",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",69799,"Unlisted procedure, middle ear",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,21899,"Unlisted procedure, neck or thorax",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",30999,"Unlisted procedure, nose",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",42299,"Unlisted procedure, palate, uvula",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",48999,"Unlisted procedure, pancreas",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,42999,"Unlisted procedure, pharynx, adenoids, or tonsils",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,67299,"Unlisted procedure, posterior segment",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,45999,"Unlisted procedure, rectum",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,42699,"Unlisted procedure, salivary glands or ducts",Yes,CareCore National,,Table_table_11.csv
Other Services,Potentially Cosmetic,17999,"Unlisted procedure, skin, mucous membrane and subcutaneous tissue",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,44799,"Unlisted procedure, small intestine",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",43999,"Unlisted procedure, stomach",Yes,CareCore National,,Table_table_11.csv
Other Services,"Experimental /
Investigational",41599,"Unlisted procedure, tongue, floor of mouth",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,31899,"Unlisted procedure, trachea, bronchi",Yes,CareCore National,,Table_table_11.csv
,Unlisted Procedure,53899,"Unlisted procedure, urinary system",Yes,CareCore National,,Table_table_11.csv
Other Services,Unlisted Procedure,94799,Unlisted pulmonary service or procedure,Yes,CareCore National,,Table_table_12.csv
Other Services,Unlisted Procedure,99199,"Unlisted special service, procedure or report",Yes,CareCore National,,Table_table_12.csv
Other Services,"Experimental /
Investigational",42140,"Uvulectomy, excision of uvula",Yes,CareCore National,,Table_table_12.csv
Other Services,Potentially Cosmetic,57110,"Vaginectomy, complete removal of vaginal wall;",Yes,CareCore National,,Table_table_12.csv
Other Services,Outpatient Surgery,57335,Vaginoplasty for intersex state,Yes,CareCore National,,Table_table_12.csv
Other Services,Potentially Cosmetic,56620,Vulvectomy simple; partial,Yes,CareCore National,,Table_table_12.csv
Other Services,"Experimental /
Investigational",Q4162,"Woundex flow, bioskin flow, 0.5 cc",Yes,CareCore National,,Table_table_12.csv
Other Services,"Experimental /
Investigational",Q4163,"Woundex, bioskin, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_12.csv
Other Services,"Experimental /
Investigational",Q4234,"Xcellerate, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_12.csv
Other Services,"Experimental /
Investigational",A2004,"Xcellistem, 1 mg",Yes,CareCore National,,Table_table_12.csv
Other Services,"Experimental /
Investigational",Q4253,"Zenith amniotic membrane, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_12.csv
Cardiology,CCTA,75577,"Quantification and characterization of coronary atherosclerotic plaque to assess severity of coronary disease, derived from
augmentative software analysis of the data set from a coronary computed tomographic angiography, with interpretation and
report by a physician or other qualified health care professional",Yes,MedSolutions,,Table_table_12.csv
